# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,8.627e-4,0.173,17.261,0.173,17.261,0,0,0,0,0,0,28.61,-80.6,9.792,85.54,0,0,0,3.423e4,1.651e4,26.971,0.105,NaN,243.886,NaN,0.007,5.601e5,925.926,4.867e-5,0.75,8.489e-4,0.582,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.209e-5,15.558,190.094,90,0,2.212,15,1013.25,340.389,0.01,0.002
0.02,0.006,0.886,71.4,0.886,71.4,0,0,0,0,0,0,28.61,-80.6,9.792,68.016,0,0,0,3.421e4,1.65e4,26.965,0.105,NaN,243.862,NaN,0.007,5.977e5,2777.778,0.005,0.742,0.082,0.574,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.135e-4,15.558,190.094,90,0,2.196,15,1013.249,340.389,0.01,0.002
0.03,0.021,2.115,122.937,2.115,122.937,0,0,0,0,0,0,28.61,-80.6,9.792,45.851,0,0,0,3.419e4,1.648e4,26.957,0.105,NaN,243.832,NaN,0.009,7.666e5,4538.65,0.048,0.714,0.449,0.545,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.708e-4,15.558,190.094,90,0,2.179,15,1013.248,340.389,0.01,0.002
0.04,0.049,3.44,132.56,3.44,132.56,0,0,0,0,0,0,28.61,-80.6,9.792,32.153,0,0,0,3.417e4,1.645e4,26.945,0.105,NaN,243.788,NaN,0.012,1.026e6,4864.066,0.138,0.683,0.717,0.514,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.405e-4,15.558,190.094,90,0,2.163,15,1013.244,340.389,0.01,0.003
0.05,0.09,4.717,127.689,4.717,127.689,0,0,0,0,0,0,28.61,-80.6,9.792,24.465,0,0,0,3.414e4,1.643e4,26.933,0.105,NaN,243.744,NaN,0.015,1.308e6,4694.149,0.253,0.659,0.81,0.49,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.039e-4,15.558,190.094,90,0,2.146,14.999,1013.239,340.389,0.01,0.003
0.06,0.143,5.944,122.81,5.944,122.81,0,0,0,0,0,0,28.61,-80.6,9.792,19.598,0,0,0,3.412e4,1.64e4,26.921,0.105,NaN,243.7,NaN,0.019,1.593e6,4524.232,0.383,0.641,0.827,0.472,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.611e-4,15.558,190.094,90,0,2.116,14.999,1013.233,340.388,0.01,0.003
0.07,0.208,7.123,117.923,7.123,117.923,0,0,0,0,0,0,28.61,-80.6,9.792,16.329,0,0,0,3.409e4,1.637e4,26.909,0.105,NaN,243.656,NaN,0.022,1.874e6,4354.315,0.522,0.626,0.814,0.458,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.12e-4,15.558,190.094,90,0,2.087,14.999,1013.226,340.388,0.01,0.003
0.08,0.285,8.265,114.206,8.265,114.206,0,0,0,0,0,0,28.61,-80.6,9.792,13.978,0,0,0,3.406e4,1.635e4,26.897,0.105,NaN,243.613,NaN,0.025,2.15e6,4224.618,0.662,0.615,0.784,0.446,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.057,14.998,1013.217,340.388,0.01,0.004
0.09,0.374,9.418,115.339,9.418,115.339,0,0,0,0,0,0,28.61,-80.6,9.792,12.15,0,0,0,3.404e4,1.632e4,26.886,0.105,NaN,243.572,NaN,0.028,2.432e6,4260.272,0.811,0.605,0.751,0.437,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.028,14.998,1013.206,340.387,0.01,0.004
0.1,0.474,10.587,116.998,10.587,116.998,0,0,0,0,0,0,28.61,-80.6,9.792,10.687,0,0,0,3.402e4,1.63e4,26.874,0.105,NaN,243.53,NaN,0.032,2.719e6,4313.802,0.972,0.596,0.719,0.428,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,1.998,14.997,1013.194,340.387,0.01,0.004
0.109,0.579,11.707,118.61,11.707,118.61,0,0,0,0,0,0,28.61,-80.6,9.792,9.661,0,0,0,3.399e4,1.628e4,26.864,0.105,NaN,243.491,NaN,0.035,2.997e6,4365.847,1.141,0.589,0.695,0.42,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,1.993,14.996,1013.182,340.387,0.009,0.005
0.118,0.683,12.731,119.912,12.731,119.912,0,0,0,0,0,0,28.61,-80.6,9.792,8.877,0,0,0,3.397e4,1.626e4,26.854,0.104,NaN,243.455,NaN,0.038,3.252e6,4407.579,1.311,0.584,0.678,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,1.988,14.996,1013.17,340.386,0.009,0.005
0.126,0.787,13.672,119.855,13.672,119.855,0,0,0,0,0,0,28.61,-80.6,9.792,8.258,0,0,0,3.395e4,1.624e4,26.845,0.104,NaN,243.423,NaN,0.041,3.487e6,4403.353,1.485,0.584,0.668,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,1.984,14.995,1013.158,340.386,0.008,0.005
0.133,0.89,14.547,119.575,14.547,119.575,0,0,0,0,0,0,28.61,-80.6,9.792,7.752,0,0,0,3.393e4,1.622e4,26.837,0.104,NaN,243.393,NaN,0.043,3.705e6,4391.705,1.658,0.585,0.661,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,1.98,14.994,1013.146,340.385,0.007,0.006
0.14,0.993,15.367,119.312,15.367,119.312,0,0,0,0,0,0,28.61,-80.6,9.792,7.33,0,0,0,3.392e4,1.62e4,26.829,0.104,NaN,243.365,NaN,0.046,3.91e6,4380.809,1.828,0.585,0.654,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,1.977,14.994,1013.134,340.385,0.007,0.006
0.147,1.096,16.141,119.064,16.141,119.064,0,0,0,0,0,0,28.61,-80.6,9.792,6.97,0,0,0,3.39e4,1.619e4,26.822,0.104,NaN,243.338,NaN,0.048,4.104e6,4370.532,1.997,0.585,0.649,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,1.973,14.993,1013.121,340.385,0.007,0.006
0.156,1.259,17.3,118.777,17.3,118.777,-7.719e-6,0,7.719e-6,-180,0.002,0.168,28.61,-80.6,9.792,6.528,0,0.009,-3.538e-6,3.388e4,1.616e4,26.811,0.104,251.376,243.297,0.519,0.051,4.395e6,4358.038,2.267,0.585,0.642,0.416,0.117,0.051,1.594,0.828,-1.283e-4,0,0,0,0,1.012e-6,0.002,15.558,190.094,90,0,1.981,14.992,1013.102,340.384,0.01,0.007
0.171,1.525,19.033,118.345,19.033,118.345,-4.965e-5,0,4.965e-5,-180,0.004,0.183,28.61,-80.6,9.792,5.999,0,0.025,-8.374e-7,3.384e4,1.613e4,26.795,0.104,252.494,243.237,0.595,0.056,4.83e6,4339.298,2.706,0.585,0.635,0.416,0.117,0.051,1.435,0.854,-6.165e-5,0,0,0,0,6.727e-6,0.002,15.558,190.094,90,0.002,2.004,14.99,1013.071,340.383,0.015,0.007
0.193,1.971,21.616,117.693,21.616,117.693,-1.869e-4,0,1.869e-4,-180,0.008,0.204,28.61,-80.6,9.792,5.365,0,0.055,1.535e-5,3.379e4,1.607e4,26.77,0.104,253.901,243.145,0.691,0.064,5.479e6,4311.187,3.435,0.585,0.626,0.416,0.118,0.051,1.251,0.866,1.364e-4,0,0,0,0,2.623e-5,0.003,15.558,190.094,89.999,-0.003,2.039,14.987,1013.019,340.381,0.022,0.007
0.226,2.747,25.458,116.706,25.458,116.706,-5.803e-4,0,5.803e-4,-180,0.016,0.236,28.61,-80.6,9.792,4.716,0,0.117,3.667e-6,3.371e4,1.599e4,26.733,0.104,255.425,243.008,0.798,0.075,6.446e6,4269.021,4.693,0.585,0.618,0.416,0.118,0.051,1.071,0.855,-1.876e-4,0,0,0,0,8.46e-5,0.003,15.558,190.094,89.996,-0.003,2.118,14.982,1012.928,340.378,0.033,0.008
0.275,4.145,31.145,115.208,31.145,115.208,-0.002,-6.748e-9,0.002,-180,0.028,0.264,28.61,-80.6,9.792,3.885,0,0.247,5.375e-6,3.359e4,1.588e4,26.677,0.104,257.512,242.8,0.946,0.092,7.877e6,4205.771,6.9,0.585,0.608,0.416,0.118,0.052,0.852,0.805,3.896e-4,0,0,0,0,2.525e-4,0.004,15.558,190.094,89.987,-0.002,2.15,14.973,1012.764,340.373,0.049,0.008
0.325,5.844,36.801,113.3,36.801,113.3,-0.003,-1.822e-8,0.003,-180,0.042,0.283,28.61,-80.6,9.792,3.369,0,0.419,4.355e-5,3.347e4,1.575e4,26.619,0.104,258.895,242.589,1.048,0.108,9.301e6,4129.425,9.543,0.585,0.603,0.415,0.118,0.052,0.722,0.757,-3.455e-4,0,0,0,0,5.231e-4,0.005,15.558,190.094,89.971,1.329e-4,2.227,14.962,1012.565,340.366,0.05,0.008
0.375,7.824,42.414,112.427,42.414,112.427,-0.006,-3.794e-8,0.006,-180,0.056,0.289,28.61,-80.6,9.792,3.03,0,0.65,4.289e-5,3.335e4,1.564e4,26.565,0.104,259.846,242.387,1.122,0.125,1.072e7,4089.202,12.606,0.586,0.601,0.415,0.118,0.052,0.64,0.717,-4.798e-4,0,0,0,0,9.453e-4,0.005,15.558,190.094,89.944,-0.002,2.343,14.949,1012.332,340.358,0.05,0.009
0.425,10.085,48.037,112.612,48.037,112.612,-0.009,-8.027e-8,0.009,-179.999,0.07,0.253,28.61,-80.6,9.792,2.672,0,0.925,4.095e-5,3.324e4,1.552e4,26.51,0.104,260.885,242.183,1.202,0.141,1.213e7,4084.782,16.085,0.586,0.598,0.415,0.119,0.052,0.555,0.666,-4.804e-4,0,0,0,0,0.001,0.006,15.558,190.094,89.905,-0.005,2.391,14.934,1012.067,340.349,0.05,0.009
0.475,12.628,53.669,112.786,53.669,112.786,-0.013,-1.84e-7,0.013,-179.999,0.081,0.168,28.61,-80.6,9.792,2.32,0,1.251,6.542e-5,3.312e4,1.541e4,26.455,0.103,261.941,241.978,1.283,0.158,1.355e7,4080.363,19.987,0.587,0.596,0.415,0.119,0.053,0.475,0.607,-4.685e-4,0,0,0,0,0.002,0.007,15.558,190.094,89.851,-0.006,2.396,14.918,1011.769,340.339,0.05,0.009
0.525,15.452,59.309,112.948,59.309,112.948,-0.017,-3.936e-7,0.017,-179.999,0.086,0.036,28.61,-80.6,9.792,2.002,0,1.607,4.759e-4,3.301e4,1.529e4,26.4,0.103,262.933,241.771,1.36,0.174,1.496e7,4075.943,24.325,0.587,0.594,0.415,0.12,0.053,0.404,0.546,4.966e-4,0,0,0,0,0.003,0.008,15.558,190.094,89.78,-0.007,2.387,14.9,1011.438,340.328,0.05,0.01
0.575,18.559,64.957,113.098,64.957,113.098,-0.021,-7.777e-7,0.021,-179.998,0.084,0.15,28.61,-80.6,9.792,1.71,-4.196e-7,2.004,-5.313e-6,3.289e4,1.518e4,26.344,0.103,263.873,241.563,1.434,0.191,1.638e7,4071.524,29.103,0.588,0.593,0.414,0.12,0.053,0.34,0.483,1.23e-4,0,0,0,0,0.004,0.008,15.558,190.094,89.689,-0.007,2.375,14.879,1011.073,340.316,0.05,0.01
0.625,21.948,70.612,113.234,70.612,113.235,-0.025,-1.423e-6,0.025,-179.997,0.07,0.403,28.61,-80.6,9.792,1.415,0,2.406,2.241e-4,3.278e4,1.506e4,26.288,0.103,264.85,241.354,1.51,0.208,1.78e7,4067.104,34.319,0.588,0.592,0.414,0.121,0.054,0.278,0.414,-1.608e-4,0,0,0,0,0.005,0.009,15.558,190.094,89.579,-0.007,2.333,14.857,1010.676,340.302,0.05,0.01
0.675,25.62,76.273,113.357,76.273,113.359,-0.028,-2.409e-6,0.028,-179.995,0.043,0.707,28.61,-80.6,9.792,1.166,-7.068e-7,2.813,2.198e-4,3.266e4,1.495e4,26.232,0.103,265.705,241.143,1.579,0.224,1.922e7,4062.684,39.996,0.589,0.591,0.414,0.121,0.054,0.226,0.352,4.956e-4,0,0,0,0,0.005,0.01,15.558,190.094,89.449,-0.007,2.329,14.833,1010.245,340.288,0.05,0.01
0.725,29.575,81.94,113.465,81.94,113.47,-0.029,-3.826e-6,0.029,-179.992,0.002,1.106,28.61,-80.6,9.792,0.86,0,3.208,-1.691e-4,3.255e4,1.483e4,26.175,0.103,266.78,240.93,1.662,0.241,2.064e7,4058.265,46.108,0.59,0.591,0.414,0.122,0.054,0.164,0.267,-4.299e-4,0,0,0,0,0.006,0.01,15.558,190.094,89.298,-0.005,2.232,14.808,1009.781,340.272,0.05,0.011
0.775,33.814,87.613,113.558,87.613,113.568,-0.028,-5.659e-6,0.028,-179.988,0.069,1.578,28.61,-80.6,9.792,0.547,-1.135e-6,3.506,-2.134e-4,3.243e4,1.472e4,26.119,0.103,267.915,240.716,1.748,0.258,2.207e7,4053.845,52.684,0.59,0.591,0.413,0.122,0.055,0.103,0.173,-1.197e-4,0,0,0,0,0.006,0.011,15.558,190.094,89.13,-0.004,2.097,14.78,1009.284,340.256,0.05,0.011
0.825,38.337,93.289,113.634,93.289,113.652,-0.022,-7.894e-6,0.022,-179.979,0.16,2.073,28.61,-80.6,9.792,0.308,5.246e-7,3.724,0.001,3.232e4,1.46e4,26.062,0.102,268.815,240.501,1.82,0.274,2.349e7,4049.426,59.75,0.591,0.591,0.413,0.123,0.055,0.057,0.098,5.784e-5,0,0,0,0,0.006,0.012,15.558,190.094,88.949,-0.004,2.052,14.751,1008.754,340.238,0.05,0.011
0.875,43.143,98.969,113.693,98.969,113.722,-0.011,-1.057e-5,0.011,-179.945,0.277,2.563,28.61,-80.6,9.792,0.149,-1.816e-6,3.839,0.002,3.22e4,1.449e4,26.004,0.102,269.44,240.284,1.874,0.291,2.491e7,4045.006,67.302,0.592,0.592,0.412,0.124,0.056,0.028,0.046,2.876e-4,0,0,0,0,0.006,0.013,15.558,190.094,88.759,-0.004,2.124,14.72,1008.19,340.219,0.05,0.012
0.925,48.234,104.651,113.736,104.652,113.778,0.006,-1.378e-5,0.006,-0.128,0.417,3.071,28.61,-80.6,9.792,0.012,6.566e-7,3.901,0.012,3.209e4,1.437e4,25.946,0.102,269.998,240.065,1.924,0.308,2.633e7,4040.587,75.333,0.593,0.593,0.412,0.125,0.056,0.002,-0.001,6.585e-5,0,0,0,0,0.006,0.013,15.558,190.094,88.566,-0.003,2.225,14.686,1007.593,340.199,0.05,0.012
0.975,53.608,110.335,113.762,110.337,113.819,0.031,-1.744e-5,0.031,-0.032,0.584,3.618,28.61,-80.6,9.792,0.149,-1.682e-6,-3.828,0.002,3.197e4,1.426e4,25.888,0.102,269.518,239.845,1.907,0.324,2.775e7,4036.167,83.842,0.594,0.594,0.412,0.125,0.057,0.027,0.057,-1.845e-5,0,0,0,0,-0.005,0.014,15.558,190.094,88.372,-0.003,2.264,14.652,1006.963,340.178,0.05,0.012
1.025,59.267,116.02,113.769,116.023,113.846,0.065,-2.148e-5,0.065,-0.019,0.779,4.189,28.61,-80.6,9.792,0.318,1.383e-6,-3.613,-7.057e-4,3.186e4,1.414e4,25.83,0.102,268.932,239.624,1.884,0.341,2.916e7,4031.748,92.84,0.595,0.595,0.411,0.126,0.058,0.059,0.116,-2.253e-4,0,0,0,0,-0.004,0.015,15.558,190.094,88.185,-0.003,2.25,14.615,1006.299,340.155,0.05,0.013
1.075,65.21,121.705,113.76,121.709,113.858,0.109,-2.597e-5,0.109,-0.014,1.002,4.714,28.61,-80.6,9.792,0.442,2.295e-6,-3.201,-7.506e-4,3.174e4,1.403e4,25.771,0.102,268.527,239.4,1.872,0.358,3.058e7,4027.328,102.323,0.596,0.597,0.411,0.127,0.058,0.083,0.158,1.751e-4,0,0,0,0,-0.003,0.016,15.558,190.094,88.014,-0.003,2.276,14.576,1005.602,340.132,0.05,0.013
1.125,71.437,127.389,113.738,127.395,113.855,0.166,-3.099e-5,0.166,-0.011,1.249,5.16,28.61,-80.6,9.792,0.515,-3.96e-7,-2.68,-5.795e-4,3.163e4,1.391e4,25.713,0.102,268.31,239.175,1.873,0.375,3.199e7,4022.909,112.283,0.597,0.598,0.41,0.128,0.059,0.097,0.183,2.765e-4,0,0,0,0,-0.002,0.016,15.558,190.094,87.867,-0.004,2.349,14.536,1004.872,340.108,0.05,0.013
1.175,77.949,133.071,113.701,133.08,113.836,0.235,-3.689e-5,0.235,-0.009,1.517,5.555,28.61,-80.6,9.792,0.585,-4.463e-7,-2.015,-5.021e-5,3.151e4,1.38e4,25.653,0.102,268.107,238.949,1.874,0.391,3.341e7,4018.489,122.727,0.598,0.599,0.41,0.129,0.06,0.111,0.209,4.487e-4,0,0,0,0,-9.26e-4,0.017,15.558,190.094,87.749,-0.005,2.352,14.493,1004.108,340.082,0.05,0.013
1.225,84.744,138.752,113.652,138.764,113.802,0.318,-4.409e-5,0.318,-0.008,1.803,5.854,28.61,-80.6,9.792,0.629,8.11e-7,-1.201,-0.002,3.14e4,1.368e4,25.594,0.101,268,238.72,1.882,0.408,3.481e7,4014.07,133.645,0.6,0.6,0.409,0.13,0.06,0.119,0.225,4.268e-5,0,0,0,0,-3.026e-4,0.018,15.558,190.094,87.669,-0.007,2.319,14.449,1003.311,340.055,0.05,0.014
1.275,91.824,144.429,113.593,144.445,113.753,0.415,-5.307e-5,0.415,-0.007,2.1,6.02,28.61,-80.6,9.792,0.638,8.111e-7,-0.281,-0.003,3.128e4,1.357e4,25.534,0.101,268.02,238.491,1.898,0.425,3.622e7,4009.65,145.03,0.601,0.602,0.408,0.131,0.061,0.121,0.231,3.917e-4,0,0,0,0,-1.53e-5,0.018,15.558,190.094,87.632,-0.008,2.261,14.403,1002.481,340.027,0.05,0.014
1.325,99.187,150.104,113.529,150.123,113.687,0.528,-6.431e-5,0.528,-0.007,2.402,5.992,28.61,-80.6,9.792,0.59,1.119e-6,0.716,-0.002,3.117e4,1.345e4,25.473,0.101,268.248,238.259,1.928,0.442,3.762e7,4005.23,156.87,0.602,0.603,0.408,0.133,0.062,0.112,0.215,-1.366e-4,0,0,0,0,9.183e-5,0.019,15.558,190.094,87.643,-0.01,2.229,14.355,1001.617,339.998,0.05,0.014
1.375,106.834,155.775,113.458,155.798,113.604,0.655,-7.84e-5,0.655,-0.007,2.696,5.751,28.61,-80.6,9.792,0.484,1.053e-6,1.65,-0.002,3.105e4,1.334e4,25.413,0.101,268.685,238.026,1.971,0.458,3.902e7,4000.811,169.167,0.604,0.604,0.407,0.134,0.063,0.091,0.18,-3.436e-5,0,0,0,0,4.529e-4,0.02,15.558,190.094,87.702,-0.011,2.237,14.306,1000.72,339.968,0.05,0.014
1.425,114.765,161.443,113.378,161.47,113.504,0.797,-9.578e-5,0.797,-0.007,2.974,5.356,28.61,-80.6,9.792,0.36,-4.38e-6,2.443,-0.004,3.094e4,1.322e4,25.352,0.101,269.197,237.791,2.019,0.475,4.042e7,3996.391,181.945,0.605,0.605,0.407,0.135,0.064,0.068,0.136,-2.394e-4,0,0,0,0,9.245e-4,0.021,15.558,190.094,87.806,-0.012,2.2,14.254,999.79,339.937,0.05,0.015
1.475,122.978,167.107,113.306,167.138,113.408,0.952,-1.165e-4,0.952,-0.007,3.228,4.812,28.61,-80.6,9.792,0.212,-1.897e-6,3.055,-0.005,3.083e4,1.311e4,25.291,0.101,269.801,237.556,2.073,0.492,4.181e7,3992.778,195.219,0.607,0.607,0.406,0.136,0.065,0.04,0.08,9.115e-5,0,0,0,0,0.001,0.021,15.558,190.094,87.945,-0.012,2.151,14.201,998.827,339.904,0.05,0.015
1.525,131.475,172.77,113.282,172.805,113.358,1.119,-1.404e-4,1.119,-0.007,3.452,4.154,28.61,-80.6,9.792,0.05,5.256e-6,3.336,-0.016,3.071e4,1.3e4,25.231,0.101,270.469,237.322,2.131,0.509,4.32e7,3991.165,209.014,0.608,0.608,0.405,0.138,0.066,0.009,0.019,3.73e-4,0,0,0,0,0.002,0.022,15.558,190.094,88.106,-0.012,2.115,14.145,997.83,339.871,0.05,0.015
1.575,140.255,178.432,113.242,178.469,113.294,1.297,-1.671e-4,1.297,-0.007,3.642,3.417,28.61,-80.6,9.792,0.123,4.976e-7,-3.26,-0.005,3.06e4,1.288e4,25.17,0.1,270.281,237.085,2.134,0.525,4.458e7,3989.647,223.35,0.61,0.61,0.404,0.139,0.066,0.023,0.051,-4.311e-5,0,0,0,0,-0.001,0.023,15.558,190.094,88.273,-0.012,2.129,14.088,996.8,339.836,0.05,0.015
1.625,149.319,184.092,113.181,184.131,113.213,1.483,-1.964e-4,1.483,-0.008,3.794,2.694,28.61,-80.6,9.792,0.28,3.096e-6,-2.687,-0.003,3.049e4,1.277e4,25.108,0.1,269.788,236.847,2.117,0.542,4.597e7,3988.129,238.232,0.612,0.612,0.404,0.14,0.067,0.053,0.113,3.143e-4,0,0,0,0,-8.602e-4,0.024,15.558,190.094,88.423,-0.014,2.184,14.029,995.737,339.801,0.05,0.016
1.675,158.664,189.747,113.096,189.788,113.115,1.676,-2.281e-4,1.676,-0.008,3.913,2.09,28.61,-80.6,9.792,0.402,-1.657e-6,-1.726,-1.798e-4,3.037e4,1.266e4,25.047,0.1,269.445,236.607,2.111,0.559,4.734e7,3986.611,253.644,0.613,0.614,0.403,0.142,0.068,0.076,0.161,-4.487e-4,0,0,0,0,-3.342e-4,0.024,15.558,190.094,88.534,-0.014,2.282,13.969,994.641,339.764,0.05,0.016
1.725,168.293,195.398,112.988,195.439,113.001,1.874,-2.618e-4,1.874,-0.008,4.006,1.745,28.61,-80.6,9.792,0.459,-4.868e-7,-0.365,-0.001,3.026e4,1.254e4,24.984,0.1,269.351,236.365,2.12,0.575,4.872e7,3985.093,269.544,0.615,0.615,0.402,0.143,0.07,0.087,0.185,3.556e-6,0,0,0,0,-1.407e-5,0.025,15.558,190.094,88.586,-0.011,2.39,13.906,993.512,339.726,0.05,0.016
1.775,178.204,201.043,112.855,201.085,112.87,2.076,-2.969e-4,2.076,-0.008,4.093,1.843,28.61,-80.6,9.792,0.412,1.942e-6,1.103,-0.005,3.015e4,1.243e4,24.922,0.1,269.649,236.121,2.155,0.592,5.009e7,3983.575,285.867,0.617,0.617,0.401,0.145,0.071,0.078,0.169,-8.289e-5,0,0,0,0,1.215e-4,0.026,15.558,190.094,88.567,-0.006,2.383,13.842,992.35,339.687,0.05,0.017
1.825,188.397,206.681,112.698,206.724,112.72,2.283,-3.318e-4,2.283,-0.008,4.195,2.227,28.61,-80.6,9.792,0.324,3.458e-6,2.321,-0.004,3.003e4,1.232e4,24.859,0.1,270.107,235.876,2.2,0.609,5.145e7,3982.057,302.682,0.619,0.619,0.401,0.146,0.072,0.061,0.134,4.685e-4,0,0,0,0,5.094e-4,0.026,15.558,190.094,88.48,7.049e-4,2.454,13.775,991.154,339.647,0.05,0.017
1.875,198.872,212.31,112.514,212.354,112.553,2.496,-3.64e-4,2.496,-0.008,4.322,2.982,28.61,-80.6,9.792,0.169,1.699e-6,3.375,-0.007,2.992e4,1.221e4,24.796,0.1,270.826,235.628,2.262,0.625,5.281e7,3980.538,319.984,0.621,0.621,0.4,0.148,0.073,0.032,0.071,-3.717e-4,0,0,0,0,0.001,0.027,15.558,190.094,88.334,0.007,2.476,13.707,989.926,339.606,0.05,0.017
1.925,209.628,217.929,112.297,217.976,112.37,2.716,-3.913e-4,2.716,-0.008,4.498,4.038,28.61,-80.6,9.792,0.042,5.069e-6,-3.572,-0.041,2.981e4,1.209e4,24.733,0.099,271.477,235.379,2.32,0.642,5.416e7,3979.02,337.822,0.623,0.623,0.399,0.15,0.074,0.008,0.02,-3.784e-4,0,0,0,0,-0.001,0.028,15.558,190.094,88.157,0.01,2.339,13.637,988.664,339.563,0.05,0.017
1.975,220.665,223.537,112.055,223.587,112.169,2.947,-4.123e-4,2.947,-0.008,4.727,5.071,28.61,-80.6,9.792,0.229,-2.492e-6,-2.961,-0.007,2.969e4,1.198e4,24.669,0.099,270.926,235.128,2.301,0.659,5.55e7,3977.502,356.251,0.625,0.625,0.398,0.151,0.075,0.043,0.101,-9.97e-6,0,0,0,0,-7.086e-4,0.029,15.558,190.094,87.99,0.01,2.208,13.566,987.37,339.52,0.05,0.018
2.025,231.982,229.132,111.803,229.186,111.95,3.19,-4.267e-4,3.19,-0.008,5.002,5.747,28.61,-80.6,9.791,0.331,0,-1.568,-0.006,2.958e4,1.187e4,24.605,0.099,270.722,234.875,2.304,0.675,5.684e7,3975.984,375.207,0.627,0.627,0.397,0.153,0.076,0.063,0.145,-4.916e-4,0,0,0,0,-1.891e-4,0.029,15.558,190.094,87.875,0.006,2.162,13.492,986.042,339.475,0.05,0.018
2.075,243.578,234.714,111.555,234.774,111.709,3.447,-4.361e-4,3.447,-0.007,5.295,5.863,28.61,-80.6,9.791,0.324,-3.882e-7,0.058,-0.002,2.947e4,1.175e4,24.54,0.099,270.925,234.62,2.334,0.692,5.818e7,3974.466,394.616,0.629,0.629,0.396,0.155,0.078,0.062,0.144,4.608e-4,0,0,0,0,2.48e-7,0.03,15.558,190.094,87.838,0.002,2.232,13.417,984.682,339.429,0.05,0.018
2.125,255.453,240.285,111.309,240.35,111.445,3.719,-4.43e-4,3.719,-0.007,5.581,5.493,28.61,-80.6,9.791,0.245,5.168e-7,1.553,-0.007,2.935e4,1.164e4,24.475,0.099,271.405,234.363,2.381,0.708,5.95e7,3972.948,414.476,0.631,0.631,0.395,0.157,0.079,0.047,0.11,2.882e-5,0,0,0,0,1.688e-4,0.031,15.558,190.094,87.881,-0.003,2.282,13.34,983.29,339.383,0.05,0.019
2.175,267.606,245.843,111.056,245.912,111.161,4.005,-4.503e-4,4.005,-0.006,5.838,4.839,28.61,-80.6,9.791,0.14,4.182e-6,2.578,-0.01,2.924e4,1.153e4,24.409,0.099,271.991,234.104,2.435,0.725,6.082e7,3971.429,434.826,0.633,0.633,0.394,0.159,0.08,0.027,0.065,-2.025e-4,0,0,0,0,4.442e-4,0.031,15.558,190.094,87.989,-0.011,2.202,13.261,981.864,339.335,0.05,0.019
