# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-1.76e-4,-0.035,-3.518,0.035,3.518,0,0,0,0,0,0,28.61,-80.6,9.792,91.016,0,0,0,2.577e4,8057.547,24.863,0.095,NaN,232.693,NaN,0.006,5.011e5,161.698,-4.86e-7,0.764,-1.059e-5,0.596,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.506e-6,15.558,190.094,90,0,1.985,15,1013.25,340.389,0.01,0.001
0.02,4.516e-4,0.09,9.034,0.09,9.034,0,0,0,0,0,0,28.61,-80.6,9.792,87.408,0,0,0,2.577e4,8051.093,24.857,0.095,NaN,232.67,NaN,0.006,5.041e5,485.095,8.032e-6,0.763,1.729e-4,0.595,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.156e-5,15.558,190.094,90,0,1.995,15,1013.25,340.389,0.01,0.002
0.03,0.002,0.306,21.593,0.306,21.593,0,0,0,0,0,0,28.61,-80.6,9.792,81.319,0,0,0,2.576e4,8044.64,24.851,0.095,NaN,232.647,NaN,0.006,5.121e5,808.492,2.906e-4,0.761,0.006,0.593,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.921e-5,15.558,190.094,90,0,2.005,15,1013.25,340.389,0.01,0.002
0.04,0.007,0.648,34.158,0.648,34.158,0,0,0,0,0,0,28.61,-80.6,9.792,72.186,0,0,0,2.575e4,8038.187,24.845,0.095,NaN,232.623,NaN,0.006,5.344e5,1131.889,0.002,0.756,0.047,0.588,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.293e-5,15.558,190.094,90,0,2.016,15,1013.249,340.389,0.01,0.002
0.05,0.016,1.115,46.729,1.115,46.729,0,0,0,0,0,0,28.61,-80.6,9.792,61.176,0,0,0,2.575e4,8031.733,24.839,0.095,NaN,232.6,NaN,0.007,5.837e5,1455.286,0.01,0.745,0.168,0.577,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.428e-4,15.558,190.094,90,0,2.026,15,1013.248,340.389,0.01,0.002
0.06,0.03,1.708,59.306,1.708,59.306,0,0,0,0,0,0,28.61,-80.6,9.792,49.541,0,0,0,2.574e4,8025.28,24.833,0.095,NaN,232.577,NaN,0.008,6.644e5,1778.683,0.03,0.73,0.378,0.562,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.187e-4,15.558,190.094,90,0,2.003,15,1013.246,340.389,0.01,0.003
0.07,0.051,2.427,71.888,2.427,71.888,0,0,0,0,0,0,28.61,-80.6,9.792,39.199,0,0,0,2.573e4,8018.827,24.827,0.095,NaN,232.553,NaN,0.009,7.904e5,2102.08,0.068,0.71,0.595,0.542,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.107e-4,15.558,190.094,90,0,1.979,15,1013.244,340.389,0.01,0.003
0.08,0.079,3.271,84.476,3.271,84.476,0,0,0,0,0,0,28.61,-80.6,9.792,30.871,0,0,0,2.573e4,8012.373,24.821,0.095,NaN,232.53,NaN,0.011,9.62e5,2425.477,0.126,0.689,0.748,0.521,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.188e-4,15.558,190.094,90,0,1.956,14.999,1013.241,340.389,0.01,0.003
0.09,0.117,4.203,93.164,4.203,93.164,0,0,0,0,0,0,28.61,-80.6,9.792,24.69,0,0,0,2.572e4,8000.507,24.81,0.095,NaN,232.487,NaN,0.014,1.168e6,2647.848,0.204,0.67,0.821,0.501,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.381e-4,15.558,190.094,90,0,1.932,14.999,1013.236,340.388,0.01,0.003
0.1,0.163,5.14,93.758,5.14,93.758,0,0,0,0,0,0,28.61,-80.6,9.792,20.372,0,0,0,2.57e4,7987.288,24.798,0.095,NaN,232.439,NaN,0.016,1.384e6,2661.853,0.294,0.654,0.839,0.485,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.581e-4,15.558,190.094,90,0,1.909,14.999,1013.231,340.388,0.01,0.004
0.11,0.219,6.081,94.107,6.081,94.107,0,0,0,0,0,0,28.61,-80.6,9.792,17.725,0,0,0,2.569e4,7974.069,24.786,0.095,NaN,232.391,NaN,0.019,1.611e6,2669.543,0.394,0.64,0.831,0.471,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.786e-4,15.558,190.094,90,0,1.944,14.999,1013.224,340.388,0.01,0.004
0.12,0.285,7.025,94.456,7.025,94.456,0,0,0,0,0,0,28.61,-80.6,9.792,15.729,0,0,0,2.568e4,7960.85,24.774,0.095,NaN,232.343,NaN,0.021,1.842e6,2677.233,0.504,0.628,0.813,0.459,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.995e-4,15.558,190.094,90,0,1.979,14.998,1013.217,340.388,0.01,0.004
0.13,0.36,7.973,94.804,7.973,94.804,0,0,0,0,0,0,28.61,-80.6,9.792,14.173,0,0,0,2.566e4,7947.631,24.762,0.095,NaN,232.295,NaN,0.024,2.076e6,2684.924,0.622,0.618,0.79,0.449,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.013,14.998,1013.208,340.387,0.01,0.004
0.14,0.444,8.924,95.153,8.924,95.153,0,0,0,0,0,0,28.61,-80.6,9.792,12.927,0,0,0,2.565e4,7934.412,24.75,0.094,NaN,232.247,NaN,0.027,2.311e6,2692.614,0.747,0.609,0.765,0.441,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.048,14.997,1013.198,340.387,0.01,0.005
0.15,0.539,9.879,95.502,9.879,95.502,0,0,0,0,0,0,28.61,-80.6,9.792,11.908,0,0,0,2.564e4,7921.192,24.738,0.094,NaN,232.199,NaN,0.03,2.548e6,2700.305,0.882,0.601,0.743,0.433,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.083,14.996,1013.187,340.387,0.01,0.005
0.16,0.642,10.837,95.851,10.837,95.851,0,0,0,0,0,0,28.61,-80.6,9.792,10.811,0,0,0,2.562e4,7907.973,24.725,0.094,NaN,232.151,NaN,0.032,2.785e6,2707.995,1.019,0.594,0.719,0.426,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.07,14.996,1013.175,340.386,0.01,0.005
0.169,0.746,11.725,96.185,11.725,96.185,0,0,0,0,0,0,28.61,-80.6,9.792,9.95,0,0,0,2.561e4,7895.775,24.714,0.094,NaN,232.106,NaN,0.035,3.005e6,2715.388,1.154,0.589,0.699,0.42,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,2.057,14.995,1013.162,340.386,0.009,0.006
0.178,0.85,12.548,96.493,12.548,96.493,0,0,0,0,0,0,28.61,-80.6,9.792,9.257,0,0,0,2.56e4,7884.501,24.704,0.094,NaN,232.065,NaN,0.037,3.209e6,2722.216,1.287,0.584,0.684,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,2.045,14.994,1013.15,340.386,0.009,0.006
0.186,0.953,13.319,96.779,13.319,96.779,0,0,0,0,0,0,28.61,-80.6,9.792,8.684,0,0,0,2.559e4,7873.965,24.694,0.094,NaN,232.026,NaN,0.04,3.401e6,2728.56,1.427,0.584,0.675,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,2.034,14.994,1013.138,340.385,0.008,0.006
0.193,1.055,14.047,97.048,14.047,97.048,0,0,0,0,0,0,28.61,-80.6,9.792,8.199,0,0,0,2.558e4,7864.04,24.685,0.094,NaN,231.99,NaN,0.042,3.582e6,2734.512,1.565,0.584,0.668,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,2.024,14.993,1013.126,340.385,0.008,0.006
0.204,1.22,15.144,97.384,15.144,97.384,-1.268e-5,0,1.268e-5,-180,0.002,0.205,28.61,-80.6,9.792,7.527,0,0.022,-4.395e-6,2.556e4,7849.152,24.671,0.094,249.397,231.935,1.122,0.045,3.855e6,2741.729,1.785,0.585,0.657,0.416,0.117,0.051,1.909,2.143,4.951e-4,0,0,0,0,8.706e-6,0.002,15.558,190.094,90,0.004,2.003,14.992,1013.107,340.384,0.011,0.007
0.221,1.49,16.796,97.887,16.796,97.888,-8.054e-5,0,8.054e-5,-180,0.006,0.213,28.61,-80.6,9.792,6.637,0,0.061,-5.289e-6,2.554e4,7826.82,24.65,0.094,251.152,231.853,1.24,0.05,4.268e6,2752.556,2.143,0.585,0.644,0.416,0.117,0.051,1.628,2.019,-1.029e-4,0,0,0,0,5.215e-5,0.002,15.558,190.094,89.999,0.005,1.96,14.99,1013.075,340.383,0.017,0.007
0.247,1.947,19.294,98.642,19.294,98.642,-2.967e-4,0,2.967e-4,-180,0.011,0.221,28.61,-80.6,9.792,5.577,0,0.128,-1.993e-5,2.551e4,7793.322,24.619,0.094,253.42,231.73,1.394,0.057,4.893e6,2768.796,2.751,0.585,0.629,0.416,0.117,0.051,1.312,1.829,-1.653e-4,0,0,0,0,1.771e-4,0.002,15.558,190.094,89.997,0.005,1.896,14.987,1013.022,340.381,0.025,0.007
0.285,2.752,23.069,99.427,23.069,99.428,-8.938e-4,0,8.938e-4,-180,0.02,0.253,28.61,-80.6,9.792,4.832,0,0.255,-8.719e-6,2.546e4,7741.607,24.571,0.094,255.143,231.539,1.517,0.068,5.843e6,2784.303,3.864,0.585,0.619,0.416,0.118,0.051,1.103,1.673,1.214e-4,0,0,0,0,4.889e-4,0.003,15.558,190.094,89.99,0.003,1.975,14.982,1012.927,340.378,0.038,0.007
0.335,4.03,28.067,100.073,28.067,100.073,-0.002,0,0.002,-180,0.034,0.272,28.61,-80.6,9.792,4.031,0,0.474,-5.401e-5,2.539e4,7673.456,24.507,0.094,257.131,231.287,1.661,0.083,7.1e6,2794.997,5.62,0.585,0.61,0.416,0.118,0.052,0.889,1.477,-4.46e-4,0,0,0,0,0.001,0.004,15.558,190.094,89.972,0.003,2.026,14.974,1012.777,340.373,0.05,0.008
0.385,5.559,33.1,100.763,33.1,100.763,-0.004,0,0.004,-180,0.047,0.275,28.61,-80.6,9.792,3.524,0,0.752,-7.972e-5,2.532e4,7605.305,24.443,0.094,258.468,231.033,1.763,0.097,8.368e6,2807.107,7.74,0.585,0.605,0.416,0.118,0.052,0.761,1.34,-3.553e-4,0,0,0,0,0.002,0.004,15.558,190.094,89.941,0.002,2.12,14.964,1012.598,340.367,0.05,0.008
0.435,7.341,38.166,101.43,38.166,101.43,-0.007,0,0.007,-180,0.06,0.226,28.61,-80.6,9.792,2.992,0,1.096,-1.884e-5,2.525e4,7536.869,24.378,0.094,259.941,230.776,1.875,0.112,9.643e6,2818.835,10.198,0.585,0.6,0.415,0.118,0.052,0.631,1.18,4.018e-4,0,0,0,0,0.003,0.005,15.558,190.094,89.895,0.002,2.125,14.952,1012.389,340.36,0.05,0.008
0.485,9.377,43.258,101.93,43.258,101.93,-0.01,0,0.01,180,0.069,0.134,28.61,-80.6,9.792,2.558,0,1.485,7.334e-5,2.518e4,7467.955,24.313,0.094,261.203,230.517,1.972,0.127,1.092e7,2826.568,13.016,0.586,0.597,0.415,0.118,0.052,0.529,1.038,1.791e-4,0,0,0,0,0.005,0.006,15.558,190.094,89.831,0.002,2.13,14.939,1012.15,340.352,0.05,0.008
0.535,11.667,48.372,102.376,48.372,102.376,-0.014,2.757e-8,0.014,180,0.073,0.014,28.61,-80.6,9.792,2.165,0,1.922,-1.122e-4,2.511e4,7399.041,24.247,0.094,262.393,230.255,2.066,0.142,1.221e7,2833.238,16.195,0.586,0.594,0.415,0.119,0.052,0.44,0.902,-1.372e-4,0,0,0,0,0.006,0.006,15.558,190.094,89.746,0.002,2.116,14.924,1011.882,340.343,0.05,0.009
0.585,14.214,53.509,102.808,53.509,102.809,-0.017,8.783e-8,0.017,180,0.067,0.221,28.61,-80.6,9.792,1.816,0,2.385,-1.626e-5,2.505e4,7330.115,24.181,0.094,263.492,229.993,2.153,0.157,1.35e7,2839.904,19.745,0.587,0.592,0.415,0.119,0.053,0.363,0.774,-8.471e-5,0,0,0,0,0.008,0.007,15.558,190.094,89.638,0.002,2.102,14.908,1011.583,340.333,0.05,0.009
0.635,17.019,58.661,103.118,58.661,103.119,-0.02,2.065e-7,0.02,179.999,0.049,0.507,28.61,-80.6,9.792,1.451,-4.262e-7,2.862,-1.915e-4,2.498e4,7260.872,24.114,0.094,264.682,229.728,2.247,0.172,1.48e7,2843.767,23.657,0.587,0.591,0.415,0.12,0.053,0.285,0.631,4.601e-5,0,0,0,0,0.01,0.008,15.558,190.094,89.507,0.002,2.04,14.889,1011.254,340.322,0.05,0.009
0.685,20.081,63.823,103.313,63.823,103.316,-0.022,3.876e-7,0.022,179.999,0.016,0.808,28.61,-80.6,9.792,1.248,0,3.325,1.51e-4,2.491e4,7191.63,24.047,0.094,265.375,229.461,2.308,0.188,1.609e7,2845.182,27.974,0.588,0.59,0.414,0.12,0.053,0.243,0.549,-4.713e-4,0,0,0,0,0.011,0.008,15.558,190.094,89.353,0.001,2.128,14.869,1010.895,340.31,0.05,0.009
0.735,23.401,68.995,103.493,68.995,103.5,-0.022,6.237e-7,0.022,179.998,0.033,1.198,28.61,-80.6,9.792,0.996,0,3.81,7.707e-5,2.484e4,7122.387,23.979,0.094,266.249,229.193,2.382,0.203,1.739e7,2846.597,32.655,0.588,0.59,0.414,0.12,0.053,0.191,0.443,4.345e-4,0,0,0,0,0.012,0.009,15.558,190.094,89.174,8.735e-5,2.161,14.848,1010.505,340.297,0.05,0.01
0.785,26.98,74.175,103.654,74.175,103.668,-0.018,8.765e-7,0.018,179.997,0.106,1.702,28.61,-80.6,9.792,0.658,1.642e-6,4.221,5.109e-4,2.477e4,7053.076,23.911,0.093,267.449,228.923,2.476,0.218,1.869e7,2847.925,37.7,0.589,0.589,0.414,0.121,0.054,0.124,0.295,2.998e-4,0,0,0,0,0.013,0.009,15.558,190.094,88.973,-9.598e-5,2.076,14.825,1010.086,340.283,0.05,0.01
0.835,30.819,79.362,103.784,79.362,103.809,-0.011,1.146e-6,0.011,179.994,0.204,2.24,28.61,-80.6,9.792,0.394,0,4.507,6.401e-5,2.47e4,6983.734,23.843,0.093,268.422,228.651,2.556,0.233,1.999e7,2848.979,43.151,0.589,0.59,0.414,0.121,0.054,0.074,0.175,-1.832e-7,0,0,0,0,0.013,0.01,15.558,190.094,88.754,-3.933e-5,2.067,14.8,1009.635,340.268,0.05,0.01
0.885,34.917,84.555,103.896,84.556,103.934,0.003,1.441e-6,0.003,0.032,0.33,2.813,28.61,-80.6,9.792,0.168,-9.613e-7,4.688,5.606e-5,2.463e4,6914.391,23.774,0.093,269.282,228.378,2.629,0.249,2.13e7,2850.011,49.001,0.59,0.59,0.413,0.122,0.055,0.031,0.069,-1.536e-4,0,0,0,0,0.012,0.011,15.558,190.094,88.524,-5.998e-5,2.096,14.773,1009.155,340.251,0.05,0.011
0.935,39.274,89.753,103.988,89.754,104.044,0.023,1.759e-6,0.023,0.004,0.486,3.427,28.61,-80.6,9.792,0.058,-2.035e-6,-4.711,0.002,2.456e4,6845.02,23.705,0.093,269.725,228.103,2.675,0.264,2.26e7,2851.046,55.253,0.591,0.591,0.413,0.123,0.055,0.011,0.039,1.791e-4,0,0,0,0,-0.011,0.011,15.558,190.094,88.288,-1.712e-4,2.103,14.745,1008.644,340.234,0.05,0.011
0.985,43.892,94.955,104.061,94.958,104.14,0.052,2.1e-6,0.052,0.002,0.674,4.053,28.61,-80.6,9.792,0.257,-9.877e-7,-4.543,6.031e-4,2.449e4,6775.592,23.635,0.093,269.014,227.827,2.647,0.279,2.39e7,2852.101,61.911,0.592,0.592,0.413,0.123,0.056,0.048,0.136,-2.925e-5,0,0,0,0,-0.009,0.012,15.558,190.094,88.056,-2.481e-4,2.121,14.715,1008.102,340.216,0.05,0.011
1.035,48.77,100.161,104.115,100.165,104.221,0.091,2.498e-6,0.091,0.002,0.892,4.687,28.61,-80.6,9.792,0.45,1.705e-6,-4.165,-5.593e-4,2.442e4,6706.165,23.565,0.093,268.342,227.548,2.622,0.295,2.52e7,2853.161,68.979,0.592,0.593,0.412,0.124,0.056,0.084,0.228,2.154e-4,0,0,0,0,-0.007,0.013,15.558,190.094,87.838,-1.908e-4,2.1,14.683,1007.53,340.197,0.05,0.012
1.085,53.908,105.369,104.15,105.375,104.285,0.142,2.995e-6,0.142,0.001,1.142,5.306,28.61,-80.6,9.792,0.635,-1.55e-6,-3.532,9.807e-4,2.435e4,6636.736,23.495,0.093,267.713,227.269,2.6,0.31,2.65e7,2854.222,76.458,0.593,0.594,0.412,0.125,0.057,0.12,0.317,1.189e-4,0,0,0,0,-0.005,0.013,15.558,190.094,87.645,-8.919e-5,2.02,14.65,1006.927,340.177,0.05,0.012
1.135,59.307,110.579,104.191,110.588,104.356,0.206,3.625e-6,0.206,0.001,1.422,5.867,28.61,-80.6,9.792,0.797,0,-2.614,9.895e-4,2.428e4,6567.181,23.424,0.093,267.18,226.987,2.584,0.325,2.78e7,2855.802,84.349,0.594,0.595,0.412,0.126,0.057,0.152,0.395,3.617e-4,0,0,0,0,-0.002,0.014,15.558,190.094,87.49,3.989e-4,1.883,14.615,1006.294,340.155,0.05,0.012
1.185,64.966,115.792,104.246,115.805,104.431,0.284,4.619e-6,0.284,9.313e-4,1.726,6.22,28.61,-80.6,9.792,0.844,0,-1.435,1.535e-5,2.421e4,6497.626,23.353,0.093,267.054,226.703,2.594,0.341,2.91e7,2857.872,92.614,0.595,0.596,0.411,0.126,0.058,0.161,0.42,-4.67e-5,0,0,0,0,-6.201e-4,0.015,15.558,190.094,87.389,6.941e-4,1.845,14.578,1005.631,340.133,0.05,0.013
1.235,70.886,121.008,104.295,121.025,104.489,0.378,6.146e-6,0.378,9.308e-4,2.042,6.367,28.61,-80.6,9.792,0.82,0,-0.149,9.777e-4,2.414e4,6428.071,23.281,0.093,267.178,226.418,2.62,0.356,3.04e7,2859.941,101.252,0.596,0.597,0.411,0.127,0.058,0.157,0.411,4.477e-4,0,0,0,0,-6.137e-6,0.015,15.558,190.094,87.349,0.001,1.826,14.539,1004.936,340.11,0.05,0.013
1.285,77.067,126.224,104.314,126.247,104.503,0.488,8.318e-6,0.488,9.76e-4,2.359,6.279,28.61,-80.6,9.792,0.73,0,1.187,7.258e-4,2.407e4,6358.489,23.209,0.093,267.535,226.131,2.661,0.371,3.169e7,2861.337,110.26,0.597,0.598,0.41,0.128,0.059,0.139,0.37,-4.605e-4,0,0,0,0,3.57e-4,0.016,15.558,190.094,87.376,0.001,1.816,14.499,1004.211,340.085,0.05,0.013
1.335,83.509,131.437,104.236,131.464,104.403,0.614,1.13e-5,0.614,0.001,2.665,5.915,28.61,-80.6,9.792,0.563,2.842e-6,2.415,0.002,2.4e4,6288.893,23.137,0.093,268.172,225.843,2.721,0.387,3.299e7,2860.452,119.632,0.598,0.599,0.41,0.129,0.059,0.106,0.288,3.104e-4,0,0,0,0,0.001,0.017,15.558,190.094,87.467,0.002,1.858,14.457,1003.456,340.06,0.05,0.013
1.385,90.211,136.646,104.143,136.677,104.278,0.754,1.519e-5,0.754,0.001,2.946,5.294,28.61,-80.6,9.792,0.331,2.358e-6,3.345,0.002,2.394e4,6219.297,23.064,0.092,269.057,225.553,2.796,0.402,3.428e7,2859.38,129.394,0.599,0.599,0.409,0.13,0.06,0.062,0.171,-3.547e-4,0,0,0,0,0.002,0.018,15.558,190.094,87.613,0.002,1.963,14.414,1002.67,340.034,0.05,0.014
1.435,97.173,141.849,104.032,141.885,104.133,0.908,2.029e-5,0.908,0.001,3.192,4.586,28.61,-80.6,9.792,0.12,-3.031e-6,3.822,8.895e-4,2.387e4,6149.74,22.991,0.092,269.888,225.261,2.869,0.417,3.557e7,2858.263,139.58,0.6,0.6,0.409,0.131,0.061,0.022,0.061,-4.124e-4,0,0,0,0,0.003,0.018,15.558,190.094,87.794,0.003,1.979,14.368,1001.853,340.006,0.05,0.014
1.485,104.395,147.045,103.869,147.084,103.939,1.073,2.69e-5,1.073,0.001,3.402,3.804,28.61,-80.6,9.792,0.09,2.915e-6,-3.858,0.001,2.38e4,6080.273,22.917,0.092,270.051,224.968,2.898,0.433,3.685e7,2856.412,150.191,0.602,0.602,0.408,0.132,0.062,0.017,0.051,-3.466e-4,0,0,0,0,-0.003,0.019,15.558,190.094,87.988,0.003,1.998,14.321,1001.006,339.978,0.05,0.014
1.535,111.877,152.231,103.673,152.273,103.717,1.248,3.486e-5,1.248,0.002,3.572,3.003,28.61,-80.6,9.792,0.288,-4.89e-7,-3.321,2.589e-4,2.373e4,6010.806,22.843,0.092,269.363,224.673,2.873,0.448,3.813e7,2854.303,161.234,0.603,0.603,0.408,0.133,0.062,0.054,0.157,3.745e-4,0,0,0,0,-0.002,0.019,15.558,190.094,88.17,0.003,2.066,14.273,1000.129,339.948,0.05,0.015
1.585,119.618,157.407,103.452,157.451,103.478,1.43,4.4e-5,1.43,0.002,3.704,2.341,28.61,-80.6,9.792,0.432,1.137e-6,-2.245,-4.6e-4,2.366e4,5941.339,22.769,0.092,268.891,224.376,2.861,0.463,3.94e7,2852.194,172.682,0.604,0.605,0.407,0.134,0.063,0.082,0.234,-4.121e-4,0,0,0,0,-8.215e-4,0.02,15.558,190.094,88.311,0.002,2.135,14.222,999.221,339.918,0.05,0.015
1.635,127.618,162.572,103.209,162.616,103.226,1.617,5.41e-5,1.617,0.002,3.808,1.863,28.61,-80.6,9.792,0.533,-1.973e-6,-0.732,0.002,2.359e4,5872.032,22.694,0.092,268.583,224.079,2.861,0.479,4.067e7,2850.173,184.526,0.606,0.606,0.406,0.135,0.064,0.101,0.29,2.445e-4,0,0,0,0,-8.177e-5,0.021,15.558,190.094,88.386,0.001,2.294,14.17,998.283,339.886,0.05,0.015
1.685,135.875,167.724,102.943,167.769,102.961,1.81,6.482e-5,1.81,0.002,3.898,1.899,28.61,-80.6,9.792,0.49,-9.655e-7,1.073,0.001,2.352e4,5802.73,22.619,0.092,268.794,223.779,2.893,0.494,4.193e7,2848.249,196.662,0.607,0.607,0.406,0.136,0.065,0.093,0.268,-2.469e-4,0,0,0,0,1.651e-4,0.021,15.558,190.094,88.376,-7.979e-4,2.297,14.117,997.314,339.854,0.05,0.016
1.735,144.39,172.862,102.651,172.908,102.678,2.008,7.542e-5,2.008,0.002,4.004,2.386,28.61,-80.6,9.792,0.349,-3.186e-7,2.592,0.005,2.345e4,5733.427,22.544,0.092,269.367,223.478,2.95,0.509,4.318e7,2846.325,209.123,0.608,0.609,0.405,0.138,0.066,0.066,0.192,1.321e-4,0,0,0,0,9.076e-4,0.022,15.558,190.094,88.282,-0.004,2.233,14.061,996.315,339.82,0.05,0.016
1.785,153.161,177.983,102.311,178.031,102.36,2.211,8.465e-5,2.211,0.002,4.142,3.159,28.61,-80.6,9.792,0.168,2.134e-6,3.591,0.006,2.338e4,5664.275,22.468,0.092,270.109,223.176,3.017,0.524,4.443e7,2843.99,221.971,0.61,0.61,0.405,0.139,0.066,0.031,0.093,4.864e-4,0,0,0,0,0.002,0.023,15.558,190.094,88.124,-0.007,2.203,14.004,995.287,339.786,0.05,0.016
1.835,162.188,183.084,101.875,183.135,101.957,2.422,9.154e-5,2.422,0.002,4.323,4.071,28.61,-80.6,9.792,0.023,2.354e-6,-3.871,0.035,2.331e4,5595.218,22.392,0.092,270.72,222.872,3.076,0.539,4.567e7,2840.054,235.227,0.611,0.611,0.404,0.14,0.067,0.004,0.015,-4.201e-4,0,0,0,0,-0.002,0.023,15.558,190.094,87.933,-0.006,2.201,13.946,994.228,339.75,0.05,0.018
1.885,171.469,188.162,101.409,188.217,101.529,2.644,9.641e-5,2.644,0.002,4.549,4.931,28.61,-80.6,9.792,0.181,4.697e-6,-3.373,0.003,2.324e4,5526.162,22.315,0.092,270.23,222.567,3.064,0.554,4.691e7,2835.957,248.888,0.613,0.613,0.403,0.141,0.068,0.034,0.105,-4.761e-4,0,0,0,0,-0.001,0.024,15.558,190.094,87.749,-0.002,2.242,13.885,993.14,339.713,0.05,0.019
1.935,181.003,193.215,100.923,193.275,101.079,2.878,1.009e-4,2.878,0.002,4.815,5.609,28.61,-80.6,9.792,0.291,3.843e-7,-2.218,0.003,2.317e4,5457.229,22.239,0.092,269.92,222.26,3.063,0.569,4.813e7,2831.738,262.92,0.614,0.614,0.402,0.143,0.069,0.055,0.168,-1.514e-4,0,0,0,0,-5.32e-4,0.025,15.558,190.094,87.607,0.003,2.264,13.823,992.021,339.676,0.05,0.019
1.985,190.79,198.239,100.322,198.305,100.497,3.126,1.077e-4,3.126,0.002,5.105,5.931,28.61,-80.6,9.792,0.333,9.748e-7,-0.583,0.003,2.31e4,5388.658,22.162,0.091,269.876,221.953,3.08,0.584,4.935e7,2824.947,277.262,0.616,0.616,0.402,0.144,0.07,0.063,0.193,4.8e-4,0,0,0,0,-3.489e-5,0.025,15.558,190.094,87.537,0.008,2.258,13.76,990.874,339.637,0.05,0.019
2.035,200.827,203.231,99.681,203.302,99.85,3.389,1.196e-4,3.389,0.002,5.401,5.797,28.61,-80.6,9.792,0.297,1.669e-6,1.163,4.138e-5,2.304e4,5320.087,22.085,0.091,270.126,221.644,3.116,0.599,5.055e7,2817.119,291.877,0.618,0.618,0.401,0.145,0.071,0.056,0.174,3.901e-4,0,0,0,0,1.322e-4,0.026,15.558,190.094,87.554,0.01,2.223,13.695,989.696,339.598,0.05,0.02
2.085,211.112,208.19,99.048,208.268,99.181,3.666,1.373e-4,3.666,0.002,5.676,5.141,28.61,-80.6,9.792,0.174,-3.726e-6,2.563,-8.493e-4,2.297e4,5251.515,22.007,0.091,270.707,221.334,3.174,0.614,5.174e7,2809.292,306.774,0.619,0.619,0.4,0.147,0.072,0.033,0.103,-6.047e-5,0,0,0,0,6.121e-4,0.027,15.558,190.094,87.652,0.007,2.235,13.628,988.49,339.557,0.05,0.02
