# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,2.571e-4,0.051,5.144,0.051,5.144,0,0,0,0,0,0,28.591,-80.615,9.792,88.407,0,0,0,2.764e4,9926,25.616,0.097,NaN,236.8,NaN,0.005,4.641e5,412.876,1.65e-6,0.774,4.192e-5,0.606,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.585e-6,15.6,190,90.012,0,1.838,15,1013,340.389,0.01,0.001
0.02,0.003,0.402,35.025,0.402,35.025,0,0,0,0,0,0,28.591,-80.615,9.792,77.865,0,0,0,2.764e4,9921,25.612,0.097,NaN,236.8,NaN,0.006,4.824e5,1238.628,6.833e-4,0.769,0.016,0.601,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.142e-5,15.6,190,90.012,0,1.868,15,1013,340.389,0.01,0.002
0.03,0.01,1.038,63.671,1.038,63.671,0,0,0,0,0,0,28.591,-80.615,9.792,61.306,0,0,0,2.763e4,9915,25.607,0.097,NaN,236.8,NaN,0.006,5.463e5,2029.863,0.009,0.753,0.167,0.585,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.329e-4,15.6,190,90.012,0,1.899,15,1013,340.389,0.01,0.002
0.04,0.024,1.764,72.626,1.764,72.626,0,0,0,0,0,0,28.591,-80.615,9.792,47.555,0,0,0,2.762e4,9905,25.6,0.097,NaN,236.8,NaN,0.008,6.6e5,2276.511,0.034,0.731,0.421,0.562,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.259e-4,15.6,190,90.012,0,1.93,15,1013,340.389,0.01,0.002
0.05,0.045,2.512,74.781,2.512,74.781,0,0,0,0,0,0,28.591,-80.615,9.792,37.987,0,0,0,2.761e4,9895,25.593,0.097,NaN,236.7,NaN,0.009,8.043e5,2335.237,0.073,0.708,0.621,0.54,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.216e-4,15.6,190,90.012,0,1.96,15,1013,340.389,0.01,0.003
0.06,0.074,3.281,76.937,3.281,76.937,0,0,0,0,0,0,28.591,-80.615,9.792,30.882,0,0,0,2.76e4,9885,25.585,0.097,NaN,236.7,NaN,0.011,9.649e5,2393.963,0.127,0.689,0.747,0.521,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.201e-4,15.6,190,90.012,0,1.961,15,1013,340.389,0.01,0.003
0.07,0.111,4.072,79.087,4.072,79.087,0,0,0,0,0,0,28.591,-80.615,9.792,25.726,0,0,0,2.759e4,9875,25.578,0.097,NaN,236.7,NaN,0.013,1.141e6,2452.472,0.193,0.672,0.81,0.504,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.214e-4,15.6,190,90.012,0,1.961,14.999,1013,340.388,0.01,0.003
0.08,0.156,4.875,80.307,4.875,80.307,0,0,0,0,0,0,28.591,-80.615,9.792,21.944,0,0,0,2.758e4,9865,25.57,0.097,NaN,236.7,NaN,0.015,1.326e6,2485.26,0.268,0.658,0.833,0.489,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.242e-4,15.6,190,90.012,0,1.962,14.999,1013,340.388,0.01,0.004
0.09,0.208,5.684,80.888,5.684,80.888,0,0,0,0,0,0,28.591,-80.615,9.792,19.079,0,0,0,2.757e4,9854,25.562,0.097,NaN,236.6,NaN,0.018,1.518e6,2500.393,0.351,0.645,0.835,0.477,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.277e-4,15.6,190,90.012,0,1.963,14.999,1013,340.388,0.01,0.004
0.1,0.269,6.498,81.468,6.498,81.468,0,0,0,0,0,0,28.591,-80.615,9.792,16.788,0,0,0,2.756e4,9844,25.554,0.097,NaN,236.6,NaN,0.02,1.713e6,2515.527,0.442,0.634,0.824,0.466,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.32e-4,15.6,190,90.012,0,1.963,14.998,1013,340.388,0.01,0.005
0.11,0.338,7.318,82.049,7.318,82.049,0,0,0,0,0,0,28.591,-80.615,9.792,15.011,0,0,0,2.755e4,9833,25.546,0.097,NaN,236.6,NaN,0.022,1.912e6,2530.66,0.538,0.625,0.805,0.456,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.37e-4,15.6,190,90.012,0,1.961,14.998,1013,340.388,0.01,0.005
0.12,0.416,8.143,82.518,8.143,82.518,0,0,0,0,0,0,28.591,-80.615,9.792,13.522,0,0,0,2.754e4,9822,25.537,0.097,NaN,236.5,NaN,0.025,2.114e6,2542.648,0.638,0.616,0.781,0.448,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.6,190,90.012,0,1.958,14.997,1013,340.387,0.01,0.005
