# Time [s],# Altitude [m],# Height [m AGL],# Velocity [m/s],# Acceleration [m/s^2],# Commanded Angle [deg],# Flight Phase [int enum],# Approximate Drag Force [N],# Expected Drag Force [N],# Target Velocity [m/s],# Velocity Error [m/s
9.3460,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.3810,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.4160,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.4510,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.4860,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.5240,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.5590,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.5940,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.6290,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.6640,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.6990,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.7340,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.7690,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.8080,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.8430,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.8780,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.9130,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.9480,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.9830,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.0180,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.0530,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.0920,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.1270,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.1620,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.1970,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.2320,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.2670,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.3020,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.3370,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.3730,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.4120,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.4470,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.4820,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.5170,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.5520,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.5870,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.6220,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.6570,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.6960,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.7310,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.7660,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.8010,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.8360,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.8710,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.9060,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.9410,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.9820,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.0170,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.0520,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.0870,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.1220,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.1570,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.1920,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.2270,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.2680,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.3030,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.3380,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.3730,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.4080,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.4430,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.4790,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.5140,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.5530,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.5880,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.6230,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.6580,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.6930,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.7280,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.7630,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.7980,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.8380,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.8730,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.9080,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.9430,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.9780,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.0130,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
