17.8490,62.13,-4.87,-0.10,0.34,8.86,1
17.9490,62.12,-4.88,-0.06,0.42,8.86,1
18.0490,62.10,-4.90,-0.24,0.38,8.86,1
18.1500,62.07,-4.93,-0.21,0.45,8.86,1
18.2510,62.10,-4.90,0.23,0.41,8.86,1
18.3510,62.10,-4.90,0.01,0.36,8.86,1
18.4520,62.12,-4.88,0.22,0.40,8.86,1
18.5530,62.16,-4.84,0.33,0.41,8.86,1
18.6530,62.19,-4.81,0.24,0.41,8.86,1
18.7570,62.20,-4.80,0.08,0.41,8.86,1
18.8570,62.24,-4.76,0.38,0.45,8.86,1
18.9570,62.24,-4.76,-0.07,0.43,8.86,1
19.0570,62.26,-4.74,0.22,0.40,8.86,1
19.1570,62.30,-4.70,0.36,0.39,8.86,1
19.2580,62.31,-4.69,0.02,0.43,8.86,1
19.3580,62.36,-4.64,0.49,0.42,8.86,1
19.4580,62.34,-4.66,-0.23,0.42,8.86,1
19.5590,62.35,-4.65,0.14,0.41,8.86,1
19.6600,62.41,-4.59,0.48,0.46,8.86,1
19.7600,62.40,-4.60,-0.04,0.37,8.86,1
19.8610,62.44,-4.56,0.32,0.47,8.86,1
19.9610,62.48,-4.52,0.35,0.43,8.86,1
20.0620,62.55,-4.45,0.64,0.41,8.86,1
20.1660,62.58,-4.42,0.24,0.38,8.86,1
20.2660,62.62,-4.38,0.34,0.52,8.86,1
20.3660,62.75,-4.25,1.09,0.52,8.86,1
20.4660,62.81,-4.19,0.53,0.36,8.86,1
20.5660,62.84,-4.16,0.32,0.41,8.86,1
20.6660,62.93,-4.07,0.76,0.33,8.86,1
20.7660,62.94,-4.06,0.04,0.47,8.86,1
20.8670,62.94,-4.06,0.07,0.48,8.86,1
20.9680,62.92,-4.08,-0.17,0.47,8.86,1
21.0680,62.82,-4.18,-0.86,0.50,8.86,1
21.1690,62.82,-4.18,-0.05,0.39,8.86,1
21.2700,62.79,-4.21,-0.27,0.40,8.86,1
21.3700,62.78,-4.22,-0.09,0.36,8.86,1
21.4740,62.79,-4.21,0.11,0.39,8.86,1
21.5740,62.85,-4.15,0.51,0.45,8.86,1
21.6740,62.88,-4.12,0.23,0.31,8.86,1
21.7740,62.89,-4.11,0.12,0.39,8.86,1
21.8740,62.89,-4.11,0.01,0.43,8.86,1
21.9740,62.88,-4.12,-0.13,0.51,8.86,1
22.0750,62.86,-4.14,-0.09,0.44,8.86,1
22.1750,62.91,-4.09,0.39,0.44,8.86,1
22.2760,62.89,-4.11,-0.18,0.19,8.86,1
22.3770,62.95,-4.05,0.53,0.35,8.86,1
22.4770,62.96,-4.04,0.03,0.33,8.86,1
22.5780,62.91,-4.09,-0.37,0.28,8.86,1
22.6780,62.87,-4.13,-0.38,0.32,8.86,1
22.7820,62.84,-4.16,-0.28,0.38,8.86,1
22.8820,62.75,-4.25,-0.75,0.37,8.86,1
22.9820,62.71,-4.29,-0.38,0.35,8.86,1
23.0820,62.69,-4.31,-0.13,0.36,8.86,1
23.1820,62.69,-4.31,0.03,0.44,8.86,1
23.2820,62.70,-4.30,0.05,0.40,8.86,1
23.3830,62.67,-4.33,-0.22,0.36,8.86,1
23.4830,62.65,-4.35,-0.24,0.52,8.86,1
23.5840,62.56,-4.44,-0.75,0.42,8.86,1
23.6850,62.53,-4.47,-0.25,0.41,8.86,1
23.7850,62.50,-4.50,-0.21,0.44,8.86,1
23.8860,62.47,-4.53,-0.28,0.42,8.86,1
23.9870,62.51,-4.49,0.34,0.52,8.86,1
24.0870,62.61,-4.39,0.83,0.36,8.86,1
24.1840,62.67,-4.33,0.52,0.49,8.86,1
24.2850,62.65,-4.35,-0.17,0.26,8.86,1
24.3860,62.61,-4.39,-0.34,0.31,8.86,1
24.4870,62.61,-4.39,0.02,0.44,8.86,1
24.5880,62.58,-4.42,-0.26,0.41,8.86,1
24.6890,62.56,-4.44,-0.19,0.45,8.86,1
24.7900,62.57,-4.43,0.08,0.47,8.86,1
24.8910,62.59,-4.41,0.19,0.33,8.86,1
24.9920,62.60,-4.40,0.06,0.47,8.86,1
25.0930,62.63,-4.37,0.33,0.39,8.86,1
25.1940,62.61,-4.39,-0.18,0.45,8.86,1
25.2950,62.62,-4.38,0.08,0.40,8.86,1
25.3950,62.62,-4.38,-0.04,0.39,8.86,1
25.4990,62.62,-4.38,0.06,0.39,8.86,1
25.5990,62.63,-4.37,0.02,0.42,8.86,1
25.6990,62.63,-4.37,0.01,0.41,8.86,1
25.7990,62.60,-4.40,-0.22,0.41,8.86,1
25.8990,62.65,-4.35,0.43,0.39,8.86,1
25.9990,62.64,-4.36,-0.11,0.35,8.86,1
26.1000,62.67,-4.33,0.26,0.38,8.86,1
26.2030,62.75,-4.25,0.67,0.35,8.86,1
26.3030,62.80,-4.20,0.46,0.28,8.86,1
26.4030,62.83,-4.17,0.22,0.43,8.86,1
26.5030,62.85,-4.15,0.19,0.47,8.86,1
26.6030,62.79,-4.21,-0.53,0.30,8.86,1
26.7040,62.92,-4.08,1.17,0.35,8.86,1
26.8080,62.92,-4.08,-0.03,0.42,8.86,1
26.9080,62.85,-4.15,-0.60,0.21,8.86,1
27.0080,62.75,-4.25,-0.89,0.43,8.86,1
27.1080,62.67,-4.33,-0.67,0.35,8.86,1
27.2080,62.60,-4.40,-0.59,0.38,8.86,1
27.3080,62.54,-4.46,-0.54,0.44,8.86,1
27.4080,62.42,-4.58,-1.05,0.42,8.86,1
27.5090,62.35,-4.65,-0.58,0.42,8.86,1
27.6090,62.30,-4.70,-0.46,0.41,8.86,1
27.7100,62.25,-4.75,-0.41,0.39,8.86,1
27.8110,62.25,-4.75,0.01,0.40,8.86,1
27.9110,62.23,-4.77,-0.24,0.38,8.86,1
28.0120,62.23,-4.77,0.07,0.41,8.86,1
28.1150,62.26,-4.74,0.20,0.38,8.86,1
28.2150,62.26,-4.74,-0.01,0.37,8.86,1
28.3150,62.30,-4.70,0.38,0.37,8.86,1
28.4150,62.30,-4.70,-0.01,0.37,8.86,1
28.5150,62.36,-4.64,0.53,0.37,8.86,1
28.6160,62.37,-4.63,0.04,0.45,8.86,1
28.7170,62.39,-4.61,0.18,0.49,8.86,1
28.8170,62.42,-4.58,0.31,0.45,8.86,1
28.9180,62.60,-4.40,1.49,0.41,8.86,1
29.0180,62.64,-4.36,0.38,0.41,8.86,1
29.1190,62.74,-4.26,0.86,0.44,8.86,1
29.2200,62.83,-4.17,0.81,0.34,8.86,1
29.3200,62.84,-4.16,0.05,0.34,8.86,1
29.4210,62.86,-4.14,0.17,0.44,8.86,1
29.5250,62.82,-4.18,-0.36,0.42,8.86,1
29.6250,62.76,-4.24,-0.50,0.39,8.86,1
29.7250,62.70,-4.30,-0.47,0.42,8.86,1
29.8250,62.69,-4.31,-0.10,0.40,8.86,1
29.9250,62.69,-4.31,-0.03,0.37,8.86,1
30.0250,62.67,-4.33,-0.20,0.35,8.86,1
30.1260,62.69,-4.31,0.20,0.56,8.86,1
30.2260,62.72,-4.28,0.23,0.33,8.86,1
30.3270,62.78,-4.22,0.56,0.53,8.86,1
30.4270,62.85,-4.15,0.56,0.56,8.86,1
30.5280,62.99,-4.01,1.27,0.26,8.86,1
30.6290,63.10,-3.90,0.90,0.49,8.86,1
30.7290,63.13,-3.87,0.30,0.31,8.86,1
30.8320,63.18,-3.82,0.38,0.39,8.86,1
30.9320,63.18,-3.82,-0.01,0.19,8.86,1
31.0320,63.16,-3.84,-0.17,0.28,8.86,1
31.1320,63.14,-3.86,-0.13,0.38,8.86,1
31.2330,63.07,-3.93,-0.60,0.36,8.86,1
31.3330,63.01,-3.99,-0.56,0.42,8.86,1
31.4340,63.00,-4.00,-0.06,0.37,8.86,1
31.5350,62.96,-4.04,-0.39,0.33,8.86,1
31.6350,62.94,-4.06,-0.12,0.39,8.86,1
31.7360,62.94,-4.06,-0.04,0.41,8.86,1
31.8370,62.89,-4.11,-0.41,0.43,8.86,1
31.9370,62.82,-4.18,-0.58,0.37,8.86,1
32.0380,62.75,-4.25,-0.61,0.33,8.86,1
32.1420,62.73,-4.27,-0.17,0.48,8.86,1
32.2420,62.71,-4.29,-0.24,0.36,8.86,1
