# Time [s],# Altitude [m],# Height [m AGL],# Velocity [m/s],# Acceleration [m/s^2],# Commanded Angle [deg],# Flight Phase [int enum],# Approximate Drag Force [N],# Expected Drag Force [N],# Target Velocity [m/s],# Velocity Error [m/s],# Roll [deg],# Relative Roll [deg],# Pitch (x) [deg],# Pitch (y) [deg],# Pitch (from vertical) [deg]
31.8510,1376.73,-3.27,0.00,-0.04,39.03,2,-64.19,-0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
31.9060,1376.57,-3.43,-2.10,-0.08,39.03,2,-63.92,0.01,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
31.9660,1376.47,-3.53,-1.32,-0.02,39.03,2,-64.32,0.01,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
32.0220,1376.42,-3.58,-0.74,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
32.0790,1376.39,-3.61,-0.36,-0.03,39.03,2,-64.25,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.1360,1376.41,-3.59,0.23,-0.07,39.03,2,-63.99,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
32.1930,1376.43,-3.57,0.32,-0.07,39.03,2,-63.99,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
32.2490,1376.49,-3.51,0.81,-0.01,39.03,2,-64.38,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
32.3090,1376.54,-3.46,0.72,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.3650,1376.56,-3.44,0.28,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.4220,1376.62,-3.38,0.81,-0.01,39.03,2,-64.38,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
32.4800,1376.67,-3.33,0.66,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.5360,1376.62,-3.38,-0.67,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.5930,1376.71,-3.29,1.19,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.6540,1376.73,-3.27,0.34,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.7110,1376.78,-3.22,0.58,-0.05,39.03,2,-64.12,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.7660,1376.81,-3.19,0.53,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.8240,1376.79,-3.21,-0.30,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.8810,1376.77,-3.23,-0.29,-0.05,39.03,2,-64.12,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.9400,1376.78,-3.22,0.16,-0.03,39.03,2,-64.25,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
32.9990,1376.79,-3.21,0.08,0.00,39.03,2,-64.45,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.0560,1376.80,-3.20,0.20,-0.08,39.03,2,-63.92,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.1130,1376.79,-3.21,-0.22,-0.03,39.03,2,-64.25,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.1700,1376.83,-3.17,0.62,-0.01,39.03,2,-64.38,0.00,0.00,0.00,2.19,2.19,0.19,-7.38,7.38
33.2260,1376.79,-3.21,-0.64,0.00,39.03,2,-64.45,0.00,0.00,0.00,2.19,2.19,0.19,-7.38,7.38
33.2860,1376.73,-3.27,-0.79,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.19,-7.38,7.38
33.3440,1376.66,-3.34,-0.93,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.19,-7.38,7.38
33.4000,1376.65,-3.35,-0.13,-0.01,39.03,2,-64.38,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.4580,1376.64,-3.36,-0.22,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.5150,1376.61,-3.39,-0.29,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.5720,1376.65,-3.35,0.45,0.00,39.03,2,-64.45,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.6320,1376.62,-3.38,-0.33,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.6890,1376.60,-3.40,-0.28,-0.06,39.03,2,-64.05,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.7460,1376.66,-3.34,0.75,-0.01,39.03,2,-64.38,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.8020,1376.61,-3.39,-0.62,-0.03,39.03,2,-64.25,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.8590,1376.64,-3.36,0.37,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.9190,1376.63,-3.37,-0.10,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
33.9760,1376.62,-3.38,-0.13,-0.05,39.03,2,-64.12,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.0330,1376.63,-3.37,0.16,-0.03,39.03,2,-64.25,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.0890,1376.66,-3.34,0.38,-0.05,39.03,2,-64.12,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.1460,1376.66,-3.34,-0.03,0.00,39.03,2,-64.45,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.2020,1376.67,-3.33,0.13,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.2620,1376.65,-3.35,-0.24,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.3190,1376.60,-3.40,-0.75,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.3770,1376.58,-3.42,-0.25,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.4340,1376.58,-3.42,0.02,-0.03,39.03,2,-64.25,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.4910,1376.60,-3.40,0.29,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.5480,1376.62,-3.38,0.25,0.01,39.03,2,-64.51,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.6080,1376.64,-3.36,0.28,-0.06,39.03,2,-64.05,0.00,0.00,0.00,2.19,2.19,0.25,-7.38,7.38
34.6630,1376.66,-3.34,0.37,-0.08,39.03,2,-63.92,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
34.7210,1376.64,-3.36,-0.29,-0.13,39.03,2,-63.59,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
34.7770,1376.68,-3.32,0.47,-0.07,39.03,2,-63.99,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
34.8340,1376.69,-3.31,0.21,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
34.8930,1376.77,-3.23,1.05,0.00,39.03,2,-64.45,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
34.9500,1376.80,-3.20,0.38,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
35.0060,1376.79,-3.21,-0.11,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.31,-7.31,7.32
35.0630,1376.84,-3.16,0.62,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.31,-7.31,7.32
35.1180,1376.86,-3.14,0.37,-0.03,39.03,2,-64.25,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
35.1750,1376.87,-3.13,0.06,0.01,39.03,2,-64.51,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
35.2340,1376.80,-3.20,-0.90,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
35.2910,1376.80,-3.20,0.01,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
35.3470,1376.78,-3.22,-0.25,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
35.4050,1376.78,-3.22,-0.08,-0.03,39.03,2,-64.25,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
35.4600,1376.76,-3.24,-0.21,-0.07,39.03,2,-63.99,0.00,0.00,0.00,2.19,2.19,0.25,-7.31,7.32
35.5160,1376.75,-3.25,-0.11,0.00,39.03,2,-64.45,0.00,0.00,0.00,2.25,2.25,0.31,-7.38,7.38
35.5760,1376.75,-3.25,-0.04,0.03,39.03,2,-64.65,0.00,0.00,0.00,2.31,2.31,0.31,-7.38,7.38
35.6330,1376.74,-3.26,-0.12,-0.01,39.03,2,-64.38,0.00,0.00,0.00,2.31,2.31,0.25,-7.31,7.32
35.6910,1376.72,-3.28,-0.28,0.00,39.03,2,-64.45,0.00,0.00,0.00,2.31,2.31,0.31,-7.38,7.38
35.7470,1376.69,-3.31,-0.43,-0.14,39.03,2,-63.53,0.00,0.00,0.00,2.31,2.31,0.31,-7.38,7.38
35.8040,1376.66,-3.34,-0.34,-0.11,39.03,2,-63.73,0.00,0.00,0.00,2.31,2.31,0.31,-7.44,7.44
35.8640,1376.66,-3.34,-0.06,-0.20,39.03,2,-63.13,0.00,0.00,0.00,2.31,2.31,0.31,-7.44,7.44
35.9190,1376.62,-3.38,-0.50,-0.05,39.03,2,-64.12,0.00,0.00,0.00,2.31,2.31,0.31,-7.38,7.38
35.9770,1376.58,-3.42,-0.61,-0.10,39.03,2,-63.79,0.00,0.00,0.00,2.31,2.31,0.31,-7.44,7.44
36.0340,1376.61,-3.39,0.46,-0.01,39.03,2,-64.38,0.00,0.00,0.00,2.31,2.31,0.31,-7.44,7.44
36.0910,1376.62,-3.38,0.07,-0.06,39.03,2,-64.05,0.00,0.00,0.00,2.31,2.31,0.31,-7.38,7.38
36.1480,1376.64,-3.36,0.25,-0.08,39.03,2,-63.92,0.00,0.00,0.00,2.31,2.31,0.38,-7.38,7.38
36.2080,1376.69,-3.31,0.69,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.31,2.31,0.31,-7.44,7.44
36.2640,1376.66,-3.34,-0.44,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.31,2.31,0.31,-7.38,7.38
36.3210,1376.63,-3.37,-0.33,-0.02,39.03,2,-64.32,0.00,0.00,0.00,2.19,2.19,0.38,-7.44,7.45
36.3780,1376.65,-3.35,0.16,-0.05,39.03,2,-64.12,0.00,0.00,0.00,2.19,2.19,0.31,-7.44,7.44
36.4350,1376.59,-3.41,-0.72,0.01,39.03,2,-64.51,0.00,0.00,0.00,2.19,2.19,0.31,-7.44,7.44
36.4900,1376.61,-3.39,0.27,-0.03,39.03,2,-64.25,0.00,0.00,0.00,2.19,2.19,0.31,-7.44,7.44
36.5500,1376.65,-3.35,0.47,-0.07,39.03,2,-63.99,0.00,0.00,0.00,2.25,2.25,0.31,-7.44,7.44
36.6070,1376.65,-3.35,0.10,-0.04,39.03,2,-64.19,0.00,0.00,0.00,2.25,2.25,0.31,-7.44,7.44
36.6620,1376.66,-3.34,0.06,0.01,39.03,2,-64.51,0.00,0.00,0.00,2.25,2.25,0.31,-7.44,7.44
