# Time [s],# Altitude [m],# Height [m AGL],# Velocity [m/s],# Acceleration [m/s^2],# Commanded Angle [deg],# Flight Phase [int enum],# Approximate Drag Force [N],# Expected Drag Force [N],# Target Velocity [m/s],# Velocity Error [m/s],# Roll [deg],# Relative Roll [deg],# Pitch (x) [deg],# Pitch (y) [deg],# Pitch (from vertical) [deg]
5.0600,1789.28,409.28,81.46,9.65,4.32,1,-449.31,36.80,0.00,0.00,5.44,5.44,3.44,10.38,90.00
5.1370,48.01,-1331.99,-7620.75,1.44,4.32,1,-259.67,506477.00,0.00,0.00,2.81,2.81,1.88,11.38,90.00
5.2170,48.08,-1331.92,0.73,-0.26,4.32,1,-220.40,0.00,0.00,0.00,3.56,3.56,6.88,10.50,90.00
5.2940,48.17,-1331.83,0.92,-1.63,4.32,1,-188.75,0.01,0.00,0.00,3.25,3.25,2.75,12.38,90.00
5.3710,48.30,-1331.70,1.45,-0.31,4.32,1,-219.25,0.01,0.00,0.00,4.50,4.50,4.44,12.56,90.00
5.4480,48.42,-1331.58,1.21,3.78,4.32,1,-313.73,0.01,0.00,0.00,3.94,3.94,5.12,12.31,90.00
5.5270,48.49,-1331.51,0.79,19.48,4.32,1,-676.43,0.00,0.00,0.00,3.81,3.81,13.62,13.06,90.00
5.6450,48.48,-1331.52,-0.04,13.44,4.32,2,-649.19,0.00,0.00,0.00,354.50,-5.50,9.00,11.31,90.00
5.7310,48.45,-1331.55,-0.38,8.26,4.32,2,-502.91,0.00,0.00,0.00,339.94,-20.06,13.38,10.75,90.00
5.8110,48.49,-1331.51,0.40,-9.28,4.32,2,-14.45,0.00,0.00,0.00,329.56,-30.44,13.06,5.69,90.00
5.9310,48.66,-1331.34,1.29,-7.80,4.32,3,-55.27,0.01,0.00,0.00,350.56,-9.44,-8.62,-8.88,90.00
6.1460,48.95,-1331.05,1.28,-2.88,4.32,5,-189.47,0.01,0.00,0.00,0.88,0.88,-27.12,-15.06,90.00
6.2270,49.20,-1330.80,2.52,-1.36,4.32,5,-230.27,0.04,0.00,0.00,1.25,1.25,-27.06,-15.50,90.00
6.3100,49.40,-1330.60,1.99,-1.77,4.32,5,-218.27,0.03,0.00,0.00,1.69,1.69,-26.62,-16.38,90.00
6.3900,49.56,-1330.44,1.76,-2.16,4.32,5,-206.90,0.02,0.00,0.00,1.62,1.62,-27.19,-16.94,90.00
6.4700,49.74,-1330.26,1.79,-2.80,4.32,5,-188.86,0.02,0.00,0.00,359.75,-0.25,-25.25,-17.75,90.00
6.5500,49.85,-1330.15,1.16,-2.14,4.32,5,-205.86,0.01,0.00,0.00,359.50,-0.50,-24.56,-16.50,90.00
6.6300,49.94,-1330.06,1.03,-6.59,4.32,5,-85.94,0.01,0.00,0.00,118.19,-241.81,-27.88,-14.50,90.00
6.7100,50.10,-1329.90,1.59,-15.40,4.32,5,149.30,0.02,0.00,0.00,112.06,-247.94,-25.56,-16.12,90.00
6.7950,50.16,-1329.84,0.63,-15.66,4.32,5,155.57,0.00,0.00,0.00,101.88,-258.12,-25.75,-11.56,90.00
6.8760,50.16,-1329.84,0.05,-9.48,4.32,5,-8.48,0.00,0.00,0.00,102.50,-257.50,-25.50,-7.31,90.00
